"Player","Position","Team","Sleeper","ESPN","Yahoo!","CBS","Fantrax","FFPC","BB10s","NFFC","Underdog","Consensus"
"Lamar Jackson","QB","BAL","33.4","38.8","37.0","41.4","50.9","77.0","48.3","56.1","56.2","48.8"
"Bucky Irving","RB","TB","39.1","56.1","54.3","41.8","58.3","54.2","48.0","54.4","54.7","51.2"
"Tyler Warren","TE","IND","46.2","47.0","47.3","54.2","53.4","28.1","63.3","60.0","62.2","51.3"
"Quinshon Judkins","RB","CLE","53.9","54.7","53.1","48.1","50.0","48.6","51.5","53.9","53.3","51.9"
"D'Andre Swift","RB","CHI","55.7","69.7","48.5","41.0","48.8","49.8","53.9","54.5","47.1","52.1"
"Davante Adams","WR","LAR","50.4","47.6","51.8","58.8","48.0","58.0","51.2","51.9","52.4","52.2"
"Terry McLaurin","WR","WAS","55.4","61.9","54.3","57.5","51.1","50.4","53.3","49.3","47.2","53.4"
"Luther Burden","WR","CHI","49.9","77.2","58.3","63.2","49.2","46.6","48.1","45.3","45.7","53.7"
"David Montgomery","RB","HOU","51.8","74.8","53.0","55.5","49.9","48.3","51.5","51.5","47.4","53.7"
"Drake Maye","QB","NE","48.0","47.4","47.2","53.5","57.8","82.4","55.1","57.5","67.1","57.3"
"TreVeyon Henderson","RB","NE","52.6","76.7","61.2","62.9","46.2","61.2","49.2","51.7","57.4","57.7"
"Jameson Williams","WR","DET","57.5","68.3","65.7","59.6","56.5","59.8","52.9","51.6","51.7","58.2"
"DJ Moore","WR","BUF","58.6","67.5","64.1","62.1","55.8","47.4","65.2","58.0","53.0","59.1"
"Joe Burrow","QB","CIN","54.2","60.0","47.9","50.9","56.3","86.0","54.9","55.7","68.3","59.3"
"Bhayshul Tuten","RB","JAX","61.1","77.6","62.4","56.2","59.6","51.4","63.9","61.8","50.7","60.5"
"Rome Odunze","WR","CHI","66.0","69.8","68.6","62.3","61.5","58.0","61.2","58.5","58.4","62.7"
"Mike Evans","WR","SF","59.6","94.9","65.9","65.9","60.4","56.7","58.6","55.8","48.8","63.0"
"Christian Watson","WR","GB","70.3","101.6","67.8","74.5","58.8","54.3","59.3","54.7","57.5","66.5"
"Jayden Daniels","QB","WAS","62.1","50.9","53.8","63.9","68.7","95.7","64.2","72.8","69.5","66.8"
"Jadarian Price","RB","SEA","69.8","80.8","66.2","63.1","62.7","60.1","71.7","71.3","61.9","67.5"
"Carnell Tate","WR","TEN","63.4","73.3","78.7","86.4","66.1","67.6","67.1","63.8","61.7","69.8"
"Jalen Hurts","QB","PHI","63.7","52.4","56.7","70.7","72.5","106.0","68.7","80.2","72.6","71.5"
"Marvin Harrison","WR","ARI","75.8","91.2","79.2","76.6","72.7","68.6","74.6","68.9","66.8","74.9"
"Tucker Kraft","TE","GB","65.3","97.8","61.1","75.6","73.9","62.0","81.4","83.5","78.6","75.5"
"Parker Washington","WR","JAX","78.3","99.9","85.0","84.8","59.6","55.8","85.0","73.5","58.7","75.6"
"Jaylen Warren","RB","PIT","73.8","103.5","76.8","75.3","73.1","70.7","68.4","72.3","70.3","76.0"
"Sam LaPorta","TE","DET","60.4","65.7","63.0","68.5","85.6","62.6","97.2","95.8","88.6","76.4"
"Kyle Pitts","TE","ATL","68.1","65.8","73.3","70.6","80.8","62.7","87.0","86.0","102.8","77.5"
"Brian Thomas","WR","JAX","71.5","106.7","84.3","84.3","69.8","71.8","76.6","71.2","63.9","77.8"
"Caleb Williams","QB","CHI","71.4","92.2","68.9","74.9","71.1","106.2","68.7","74.6","73.2","77.9"
"Harold Fannin","TE","CLE","67.9","77.1","71.4","83.0","76.5","61.7","83.7","86.4","102.9","79.0"
"DK Metcalf","WR","PIT","74.0","87.5","86.4","90.4","78.8","80.6","72.7","73.5","75.6","79.9"
"Rhamondre Stevenson","RB","NE","85.1","100.9","81.1","84.5","83.9","72.3","78.9","82.4","71.2","82.3"
"Dak Prescott","QB","DAL","81.6","87.1","75.0","59.8","79.2","118.8","76.7","83.8","80.8","82.5"
"Tony Pollard","RB","TEN","87.3","98.9","85.7","73.9","77.2","84.2","79.3","82.3","76.8","82.8"
"Courtland Sutton","WR","DEN","79.4","84.5","101.5","80.5","75.6","92.0","74.8","74.9","83.3","82.9"
"Justin Herbert","QB","LAC","84.4","109.1","68.8","84.9","85.6","115.7","74.5","79.4","83.8","87.4"
"Rico Dowdle","RB","PIT","87.3","109.4","87.1","80.0","87.1","78.8","87.5","92.6","85.3","88.3"
"RJ Harvey","RB","DEN","79.8","134.9","101.0","76.4","74.3","88.6","73.6","81.4","88.1","88.7"
"Chuba Hubbard","RB","CAR","76.6","117.7","78.6","89.8","88.8","103.4","70.4","81.0","94.8","89.0"
"Alec Pierce","WR","IND","97.8","98.2","86.9","75.0","109.6","98.0","76.8","79.7","91.9","90.4"
"Trevor Lawrence","QB","JAX","98.5","95.0","85.1","86.3","92.4","118.7","77.9","82.7","86.5","91.5"
"Jordyn Tyson","WR","NO","77.0","111.5","91.8","111.4","141.1","87.3","84.2","80.6","71.6","95.2"
"Mike Wilson","WR","ARI","83.3","107.0","104.6","108.2","95.1","90.7","89.9","86.2","91.7","95.2"
"Jaxson Dart","QB","NYG","82.3","76.2","85.0","100.2","104.4","139.6","78.7","96.0","101.9","96.0"
"Jonathon Brooks","RB","CAR","123.8","126.1","102.6","97.5","61.2","65.2","120.7","102.9","78.9","97.7"
"Chris Godwin","WR","TB","95.9","148.1","98.2","97.6","86.8","76.8","101.4","92.4","87.1","98.2"
"J.K. Dobbins","RB","DEN","92.6","123.1","98.1","91.9","95.3","96.9","98.0","101.1","96.0","99.2"
"Mike Pittman","WR","PIT","103.6","90.7","120.1","113.7","95.9","89.0","93.3","88.8","99.3","99.4"
"George Kittle","TE","SF","91.6","99.5","88.2","94.1","105.6","72.6","114.5","118.1","113.8","99.8"
"Quentin Johnston","WR","LAC","107.8","142.0","108.0","100.6","92.1","91.4","98.8","87.5","74.6","100.3"
"Josh Downs","WR","IND","110.5","121.2","112.7","107.1","83.2","78.8","116.3","103.5","81.4","101.6"
"Kyle Monangai","RB","CHI","95.1","130.9","100.5","103.1","96.7","103.3","90.5","95.5","99.7","101.7"
"Blake Corum","RB","LAR","104.0","141.0","99.5","107.6","98.6","79.4","100.6","96.6","89.0","101.8"
"Matt Stafford","QB","LAR","99.6","79.6","100.3","93.0","95.5","156.7","88.2","95.3","109.0","101.9"
"Makai Lemon","WR","PHI","86.5","136.0","108.4","120.0","94.2","111.8","96.2","95.6","82.3","103.4"
"Kenneth Gainwell","RB","TB","111.8","122.6","117.1","99.8","104.2","83.5","98.0","94.5","109.3","104.5"
"Brock Purdy","QB","SF","117.6","104.9","98.1","94.9","110.3","136.6","88.9","98.7","102.1","105.8"
"Travis Kelce","TE","KC","93.3","100.4","94.1","101.5","116.2","83.4","120.7","122.5","122.7","106.1"
"Patrick Mahomes","QB","KC","106.4","109.4","98.6","99.5","105.5","150.3","94.0","104.2","97.2","107.2"
"Wan'Dale Robinson","WR","TEN","109.0","118.1","130.8","102.7","103.9","97.3","106.5","99.2","111.5","108.8"
"Jordan Addison","WR","MIN","105.8","122.1","118.2","117.2","108.2","113.0","106.6","106.0","89.8","109.7"
"Texans","DST","HOU","101.0","86.5","92.5","99.5","104.1","","147.1","146.6","","111.0"
"Bo Nix","QB","DEN","119.5","89.8","100.6","121.0","114.5","147.5","95.2","106.7","107.1","111.3"
"Jakobi Meyers","WR","JAX","102.3","116.3","128.3","114.7","109.6","123.4","95.9","99.3","115.5","111.7"
"Jayden Reed","WR","GB","114.6","138.1","120.0","125.5","110.8","98.5","114.2","106.6","79.6","112.0"
"Jordan Mason","RB","MIN","120.0","150.7","118.8","103.3","109.3","90.5","113.2","114.2","103.3","113.7"
"Jake Ferguson","TE","DAL","100.3","112.4","114.6","118.9","109.5","99.8","116.3","119.9","134.0","114.0"
"Jacory Croskey-Merritt","RB","WAS","111.4","138.3","115.0","106.7","114.5","96.0","119.0","123.1","106.8","114.5"
"Dallas Goedert","TE","PHI","124.7","100.9","106.6","85.3","125.4","88.8","134.6","129.6","135.3","114.6"
"Rachaad White","RB","WAS","127.8","132.1","120.8","118.9","90.0","102.6","118.4","109.2","114.4","114.9"
"Dalton Kincaid","TE","BUF","90.0","135.5","99.8","123.5","131.2","83.3","126.5","123.1","123.3","115.1"
"Isaiah Likely","TE","NYG","113.8","130.1","108.9","97.3","127.3","77.0","129.1","125.9","126.3","115.1"
"Stefon Diggs","WR","WAS","116.0","131.2","113.7","122.8","81.4","98.3","142.9","132.2","99.6","115.3"
"Jared Goff","QB","DET","133.3","139.0","114.7","108.1","112.4","157.9","95.9","102.6","110.8","119.4"
"Rams","DST","LAR","89.2","100.7","89.8","109.4","131.5","","165.8","156.3","","120.4"
"Matt Golden","WR","GB","131.9","107.3","129.1","135.9","127.2","110.0","129.5","120.3","104.6","121.8"
"Aaron Jones","RB","MIN","121.3","128.9","122.3","112.9","117.3","124.0","123.4","130.9","126.1","123.0"
"Broncos","DST","DEN","122.6","94.3","100.8","90.7","129.6","","168.8","166.4","","124.7"
"Mark Andrews","TE","BAL","130.4","123.1","113.7","122.3","136.1","102.0","137.6","136.7","131.2","125.9"
"Xavier Worthy","WR","KC","139.4","137.2","128.6","133.2","128.7","124.5","129.1","119.7","105.2","127.3"
"KC Concepcion","WR","CLE","129.3","150.8","131.4","127.5","118.3","106.0","137.8","129.3","116.3","127.4"
"Seahawks","DST","SEA","108.1","107.5","106.9","112.1","139.8","","163.4","162.6","","128.6"
"Romeo Doubs","WR","NE","127.1","153.3","132.0","141.0","124.1","128.1","125.7","121.0","118.5","130.1"
"Jayden Higgins","WR","HOU","140.2","159.7","133.2","142.3","122.5","123.6","120.1","115.3","121.5","130.9"
"Kyler Murray","QB","MIN","158.5","147.7","111.3","132.6","124.1","164.1","107.3","121.9","113.5","131.2"
"Khalil Shakir","WR","BUF","138.3","128.3","131.6","139.8","134.7","137.6","125.4","124.4","130.7","132.3"
"Baker Mayfield","QB","TB","142.8","148.9","126.9","125.7","130.6","173.2","107.8","117.0","122.1","132.8"
"Jalen Coker","WR","CAR","145.7","161.1","133.3","146.1","129.9","129.2","133.0","129.9","129.6","137.5"
"Jordan Love","QB","GB","146.0","159.3","124.3","139.2","129.7","190.2","109.7","122.5","116.3","137.5"
"Tyrone Tracy","RB","NYG","159.1","166.4","130.9","128.9","135.5","122.4","132.9","134.1","137.5","138.6"
"Deebo Samuel","WR","SF","137.2","137.4","127.8","124.7","141.9","125.7","165.2","160.1","128.2","138.7"
"Chris Rodriguez","RB","JAX","156.1","167.3","132.2","134.4","133.2","123.2","138.4","143.6","126.8","139.5"
"Tyler Shough","QB","NO","167.9","155.6","129.9","142.3","134.0","176.3","104.3","119.6","125.6","139.5"
"Zach Charbonnet","RB","SEA","141.1","153.8","129.0","129.0","146.3","134.4","134.1","155.0","159.7","142.5"
"Tyler Allgeier","RB","ARI","148.0","168.9","130.0","147.7","140.5","137.7","129.1","139.6","145.6","143.0"
"Woody Marks","RB","HOU","165.4","152.6","132.4","139.3","141.9","136.6","138.7","143.7","141.7","143.6"
"Rashid Shaheed","WR","SEA","157.6","159.1","128.5","143.0","144.2","144.3","149.2","141.1","133.9","144.5"
"Brenton Strange","TE","JAX","150.5","167.8","128.7","137.8","155.3","124.7","148.6","153.5","149.3","146.2"
"Oronde Gadsden","TE","LAC","115.7","170.0","126.4","154.9","151.5","156.4","135.0","147.4","168.7","147.3"
"Keaton Mitchell","RB","LAC","181.7","169.9","132.4","151.2","136.4","112.7","164.3","151.4","130.6","147.8"
"Malik Willis","QB","MIA","190.5","167.0","124.9","147.0","142.6","175.2","119.3","144.4","134.7","149.5"
"Eagles","DST","PHI","125.0","134.8","123.3","126.9","163.0","","187.6","188.4","","149.8"
"Juwan Johnson","TE","NO","188.3","164.3","129.6","145.3","158.9","121.9","144.1","153.4","150.7","150.7"
"Denzel Boston","WR","CLE","162.2","166.6","130.9","151.6","159.6","139.4","156.2","156.2","140.5","151.5"
"Chig Okonkwo","TE","WAS","169.6","169.5","126.4","156.9","159.5","121.5","160.8","160.9","144.5","152.2"
"Hunter Henry","TE","NE","132.2","143.0","128.0","155.0","207.1","140.6","153.9","166.1","153.0","153.2"
"Tyjae Spears","RB","TEN","170.2","166.0","133.0","142.9","148.4","140.6","158.4","162.7","157.4","153.3"
"Alvin Kamara","RB","NO","159.7","156.6","126.2","131.9","155.1","151.1","168.6","175.3","161.7","154.0"
"Jonah Coleman","RB","DEN","167.4","170.2","131.0","158.4","183.2","126.5","151.3","151.2","151.2","154.5"
"De'Zhaun Stribling","WR","SF","174.4","162.8","127.2","136.2","149.0","108.4","217.1","209.5","125.5","156.7"
"Isiah Pacheco","RB","DET","185.6","159.8","126.4","139.8","152.3","164.8","160.3","166.1","170.3","158.4"
"Kenyon Sadiq","TE","NYJ","143.1","140.3","129.9","161.5","183.9","151.4","164.1","173.4","179.8","158.6"
"Ricky Pearsall","WR","SF","244.4","169.9","114.6","","","","119.2","146.3","","158.9"
"T.J. Hockenson","TE","MIN","163.4","133.6","129.9","163.4","166.1","152.3","170.2","184.8","170.6","159.4"
"Dylan Sampson","RB","CLE","191.2","170.9","130.4","152.7","160.2","148.9","156.4","160.3","174.3","160.6"
"Jalen Nailor","WR","LV","183.8","170.3","130.3","153.1","166.8","159.3","168.3","166.9","147.4","160.7"
"Steelers","DST","PIT","161.1","115.1","135.0","142.4","186.2","","192.4","195.9","","161.2"
"Patriots","DST","NE","143.8","149.2","126.9","145.1","183.0","","193.9","187.2","","161.3"
"Tank Bigsby","RB","PHI","183.8","168.3","130.8","157.7","166.5","134.7","183.4","180.9","151.3","161.9"
"Jalen McMillan","WR","TB","196.2","167.9","129.8","","166.2","163.9","162.1","157.8","156.1","162.5"
"Vikings","DST","MIN","151.7","168.5","131.1","131.9","183.1","","187.4","195.7","","164.2"
"Brian Robinson","RB","ATL","147.0","166.4","123.1","156.8","172.0","163.3","182.3","184.0","186.2","164.6"
"Ravens","DST","BAL","135.5","131.7","137.4","148.7","190.9","","202.9","206.0","","164.7"
"Omar Cooper","WR","NYJ","172.1","170.8","130.8","162.2","160.8","198.3","171.0","175.2","156.3","166.4"
"Jauan Jennings","WR","MIN","191.7","170.5","127.8","163.9","150.2","232.2","152.8","161.2","162.9","168.1"
"Tre Tucker","WR","LV","205.8","168.3","","154.6","159.5","173.0","162.7","167.4","157.0","168.5"
"Dalton Schultz","TE","HOU","193.8","167.8","129.0","157.8","192.0","163.6","165.8","186.0","168.7","169.4"
"Daniel Jones","QB","IND","204.5","159.5","128.5","146.0","208.6","261.1","135.2","161.1","146.1","172.3"
"Sam Darnold","QB","SEA","175.6","162.6","123.1","136.9","290.7","247.6","126.2","147.7","142.4","172.5"
"C.J. Stroud","QB","HOU","187.6","166.1","125.8","153.3","204.2","298.3","122.8","153.3","145.6","173.0"
"Jaguars","DST","JAC","171.9","167.4","137.0","157.8","190.4","","198.6","193.5","","173.8"
"Travis Hunter","WR","JAX","164.9","119.0","126.7","","257.4","191.5","188.6","196.4","149.7","174.3"
"Terrance Ferguson","TE","LAR","210.5","166.2","126.2","","160.4","123.2","222.6","221.5","170.0","175.1"
"Chargers","DST","LAC","179.3","163.2","138.9","152.0","198.5","","204.5","199.7","","176.6"
"AJ Barner","TE","SEA","186.2","169.0","126.2","169.9","213.7","173.2","181.2","198.7","178.2","177.4"
"Tre' Harris","WR","LAC","212.2","171.0","","","184.0","158.7","185.4","174.4","160.0","178.0"
"Mike Washington","RB","LV","203.9","169.8","128.8","162.4","239.2","160.4","184.5","187.9","181.1","179.8"
"MarShawn Lloyd","RB","GB","223.2","170.7","132.1","157.6","228.2","115.7","222.6","215.1","159.3","180.5"
"Lions","DST","DET","151.1","151.5","137.1","151.0","232.5","","224.3","233.6","","183.0"
"Malik Washington","WR","MIA","199.6","170.3","","","178.5","182.2","191.0","196.2","172.5","184.3"
"Fernando Mendoza","QB","LV","177.2","166.7","120.8","","272.0","","172.7","206.9","185.4","185.9"
"Jaydon Blue","RB","DAL","233.6","170.4","127.8","","207.5","145.3","216.8","214.5","171.7","185.9"
"Jerry Jeudy","WR","CLE","194.7","163.8","","156.6","207.3","215.7","176.4","181.6","193.6","186.2"
"Cam Ward","QB","TEN","206.4","168.5","125.7","","211.7","343.9","132.1","156.2","150.8","186.9"
"Greg Dulcich","TE","MIA","234.6","170.3","132.3","164.3","219.7","155.4","204.9","216.1","186.1","187.1"
"Tank Dell","WR","HOU","178.0","169.3","","139.7","201.1","199.0","224.2","226.8","180.6","189.8"
"Emmett Johnson","RB","KC","197.9","170.0","","","247.6","173.5","163.9","171.2","205.7","190.0"
"Aaron Rodgers","QB","PIT","229.9","169.1","116.5","","254.4","","174.2","206.4","181.1","190.2"
"Isaac TeSlaa","WR","DET","211.8","170.3","126.2","","176.7","278.7","193.4","186.8","183.2","190.9"
"Ryan Flournoy","WR","DAL","236.0","170.5","","","181.5","187.4","203.6","192.3","165.3","190.9"
"Braelon Allen","RB","NYJ","215.5","170.6","","161.6","186.5","169.6","210.7","211.9","202.7","191.1"
"Packers","DST","GB","202.8","168.2","137.7","162.8","225.8","","214.5","230.4","","191.7"
"Adonai Mitchell","WR","NYJ","218.8","169.9","","","216.2","179.8","193.2","197.1","171.9","192.4"
"James Conner","RB","ARI","214.7","170.4","126.3","165.6","210.2","222.1","191.4","221.1","215.2","193.0"
"Israel Abanikanda","RB","DAL","","169.9","","","","","","","216.0","193.0"
"Kaden Wetjen","WR","PIT","","169.9","","","","","","","216.0","193.0"
"Brevyn Spann-Ford","TE","DAL","","169.9","","","","","","","216.0","193.0"
"Ray-Ray McCloud III","WR","CHI","","169.9","","","","","","","216.0","193.0"
"Taylen Green","QB","CLE","","170.0","","","","","","","216.0","193.0"
"Nate Boerkircher","TE","JAX","","170.0","","","","","","","216.0","193.0"
"Sincere McCormick","RB","SF","","170.0","","","","","","","216.0","193.0"
"Kaden Davis","WR","CHI","","170.0","","","","","","","216.0","193.0"
"Jack Endries","TE","CIN","","170.0","","","","","","","216.0","193.0"
"D'Onta Foreman","RB","FA","","170.0","","","","","","","216.0","193.0"
"Chiefs","DST","KC","208.0","163.0","134.8","167.2","234.8","","220.1","236.8","","195.0"
"Bryce Young","QB","CAR","228.3","168.8","123.1","","219.5","338.3","138.1","181.8","163.5","195.2"
"Bears","DST","CHI","223.5","169.1","128.1","162.7","256.4","","211.9","223.4","","196.4"
"Bills","DST","BUF","221.9","168.8","131.2","162.9","245.5","","217.8","234.6","","197.5"
"Browns","DST","CLE","266.6","153.4","134.7","165.9","242.6","","203.6","221.1","","198.3"
"Kimani Vidal","RB","LAC","239.2","170.6","","","193.9","186.4","197.0","198.9","203.6","198.5"
"Ray Davis","RB","BUF","237.6","170.8","","","207.5","156.4","219.2","211.6","187.8","198.7"
"Dontayvion Wicks","WR","PHI","","170.9","","","222.1","187.2","223.9","226.7","165.5","199.4"
"Falcons","DST","ATL","228.4","170.2","133.7","155.2","254.7","","220.4","236.5","","199.9"
"Pat Freiermuth","TE","PIT","239.9","168.8","124.8","","236.1","192.2","208.5","234.2","195.3","200.0"
"Ja'Kobi Lane","WR","BAL","175.7","166.8","","157.7","264.9","176.9","238.9","266.8","169.1","202.1"
"Geno Smith","QB","NYJ","","170.4","","","274.6","","173.5","208.9","191.7","203.8"
"Nick Singleton","RB","TEN","195.2","170.4","","","265.8","190.6","200.6","204.7","206.0","204.8"
"Gunnar Helm","TE","TEN","235.4","170.3","","","249.9","182.9","189.5","217.8","191.5","205.3"
"Jordan James","RB","SF","","170.8","","158.9","245.4","184.8","228.9","237.9","214.0","205.8"
"Justice Hill","RB","BAL","","170.8","","166.6","207.4","209.1","231.2","252.3","213.9","207.3"
"Cowboys","DST","DAL","198.1","166.3","128.5","","270.4","","230.9","251.0","","207.5"
"Tyreek Hill","WR","FA","209.5","169.8","131.7","","258.9","","215.6","251.7","215.6","207.5"
"Cade Otton","TE","TB","215.7","170.3","","165.8","242.0","237.6","206.3","229.0","192.9","207.5"
"Ramel Keyton","WR","FA","247.0","170.0","","","","","","","","208.5"
"49ers","DST","SF","222.8","168.6","128.1","","253.5","","234.0","246.2","","208.9"
"Kaelon Black","RB","SF","","170.6","","164.1","269.0","181.6","232.2","233.6","211.1","208.9"
"Cyrus Allen","WR","KC","199.2","169.6","","","262.6","167.3","237.8","256.6","177.9","210.1"
"Giants","DST","NYG","231.7","169.4","130.2","","269.9","","221.2","241.0","","210.6"
"Cooper Kupp","WR","SEA","226.7","168.9","119.5","162.7","231.1","325.6","221.0","241.5","211.5","212.1"
"David Njoku","TE","LAC","207.1","169.7","124.9","","256.9","273.4","213.8","241.7","212.4","212.5"
"Kaytron Allen","RB","WAS","239.1","170.5","","","262.5","193.2","205.2","205.1","211.9","212.5"
"J.J. Taylor","RB","FA","256.0","170.0","","","","","","","","213.0"
"Kayshon Boutte","WR","NE","219.5","170.7","","","225.8","267.5","197.1","211.5","202.9","213.6"
"Brandon Aiyuk","WR","SF","251.4","170.3","","","211.9","","203.6","228.4","216.0","213.6"
"Mike Boone","RB","FA","258.5","170.0","","","","","","","","214.2"
"Sean Tucker","RB","TB","243.9","170.3","","","242.6","220.8","209.3","213.6","199.4","214.3"
"Zachariah Branch","WR","ATL","189.7","170.7","","","229.3","269.3","231.1","226.6","185.7","214.6"
"Calvin Ridley","WR","TEN","253.2","167.9","","166.5","209.1","276.3","218.2","230.8","197.5","214.9"
"Keenan Allen","WR","IND","233.2","169.8","","","139.6","261.8","236.4","263.6","206.5","215.8"
"Dean Conners","RB","","","","","","","","","","216.0","216.0"
"Hakeem Butler","WR","DEN","","","","","","","","","216.0","216.0"
"Seth Henigan","QB","","","","","","","","","","216.0","216.0"
"Jalin Conyers","TE","","","","","","","","","","216.0","216.0"
"Jacob Harris","WR","","","","","","","","","","216.0","216.0"
"Brian Hill","RB","","","","","","","","","","216.0","216.0"
"DeAngelo Hardy","WR","","","","","","","","","","216.0","216.0"
"Matt LaCosse","TE","","","","","","","","","","216.0","216.0"
"Saints","DST","NO","244.6","170.0","","157.9","264.2","","223.4","238.3","","216.4"
"MyCole Pruitt","TE","FA","263.0","170.0","","","","","","","","216.5"
"Antonio Williams","WR","WAS","217.8","170.9","","","219.8","297.3","201.8","202.0","211.9","217.3"
"George Holani","RB","SEA","","170.3","","","251.9","202.5","230.0","237.7","212.3","217.5"
"Pat Bryant","WR","DEN","230.4","170.6","","","281.5","180.4","231.3","254.5","174.6","217.6"
"Tua Tagovailoa","QB","ATL","236.5","170.1","","","269.4","","198.1","226.5","210.2","218.5"
"JuJu Smith-Schuster","WR","NYG","","169.9","","","","","","273.1","216.0","219.6"
"Josh Oliver","TE","MIN","","169.9","","","","","","273.1","216.0","219.7"
"Darius Cooper","WR","PHI","","169.9","","","","","","273.2","216.0","219.7"
"Jimmy Horn Jr.","WR","CAR","","170.0","","","","","","273.3","215.9","219.7"
"Sam Roush","TE","CHI","","170.0","","","","","","273.1","216.0","219.7"
"KeAndre Lambert-Smith","WR","LAC","","170.0","","","","","","273.2","216.0","219.7"
"Barion Brown","WR","NO","","170.0","","","","","","273.1","215.9","219.7"
"Mitch Tinsley","WR","CIN","","170.0","","","","","","273.1","216.0","219.7"
"Carson Wentz","QB","MIN","","170.0","","","","","","273.1","216.0","219.7"
"Mitch Evans","TE","CAR","","170.0","","","","","","273.2","216.0","219.7"
"Khalil Herbert","RB","FA","","170.0","","","","","","273.2","216.0","219.7"
"Jordan Watkins","WR","SF","","170.0","","","","","","273.2","216.0","219.7"
"Theo Wease Jr.","WR","MIA","","170.0","","","","","","273.1","216.0","219.7"
"Sam Howell","QB","DAL","","170.0","","","","","","273.3","216.0","219.8"
"Isaiah Williams","WR","NYJ","","170.0","","","","","","273.4","216.0","219.8"
"Sione Vaki","RB","DET","","170.0","","","","","","273.4","216.0","219.8"
"Lan Larison","RB","NE","","170.0","","","","","","273.3","216.0","219.8"
"Dyami Brown","WR","WSH","","170.0","","","","","","273.4","216.0","219.8"
"Elijah Higgins","TE","ARI","","169.9","","","","","","273.6","216.0","219.9"
"Efton Chism III","WR","NE","","169.9","","","","","","273.6","216.0","219.9"
"Noah Fant","TE","NO","","169.9","","","","","","273.7","216.0","219.9"
"Taysom Hill","TE","FA","","169.9","","","","","","273.8","216.0","219.9"
"Jacoby Brissett","QB","ARI","243.0","170.1","","","241.3","336.1","159.4","191.5","198.4","220.0"
"Quinn Ewers","QB","MIA","","169.9","","","","","","273.9","216.0","220.0"
"Jarrett Stidham","QB","DEN","","170.0","","","","","","274.5","216.0","220.2"
"Savion Williams","WR","GB","","170.2","","","","","","274.5","215.9","220.2"
"KaVontae Turpin","WR","DAL","","169.9","","","","","","275.1","215.9","220.3"
"Colbie Young","WR","CIN","","169.9","","","","","","275.0","215.9","220.3"
"Joe Mixon","RB","FA","204.6","170.0","","","","","238.9","273.6","216.0","220.6"
"Joe Milton III","QB","DAL","","169.9","","","","","","275.8","216.0","220.6"
"Demond Claiborne","RB","MIN","242.0","170.4","","","279.8","179.6","233.6","227.1","214.6","221.0"
"Philip Rivers","QB","IND","","169.6","","","","","","273.1","","221.3"
"Jonnu Smith","TE","FA","","170.0","","","","","","277.9","216.0","221.3"
"Albert Okwuegbunam Jr.","TE","LV","","170.0","","","","","","272.9","","221.4"
"Myles Price","WR","MIN","","169.9","","","","","","273.1","","221.5"
"Stetson Bennett IV","QB","LAR","","169.9","","","","","","273.1","","221.5"
"Jake Bobo","WR","SEA","","169.9","","","","","","273.1","","221.5"
"Tim Patrick","WR","NYJ","","169.9","","","","","","273.1","","221.5"
"AJ Dillon","RB","CAR","","170.0","","","","","","273.1","","221.5"
"Will Levis","QB","TEN","","170.0","","","","","","273.1","","221.5"
"Drew Sample","TE","CIN","","170.0","","","","","","273.1","","221.5"
"Durham Smythe","TE","BAL","","170.0","","","","","","273.1","","221.5"
"Arian Smith","WR","NYJ","","170.0","","","","","","273.1","","221.5"
"Jeremy Ruckert","TE","NYJ","","170.0","","","","","","273.1","","221.5"
"Devin Duvernay","WR","ARI","","170.0","","","","","","273.1","","221.5"
"Jeremy McNichols","RB","WSH","","170.0","","","","","","273.0","","221.5"
"Isaiah Hodgins","WR","NYG","","170.0","","","","","","273.0","","221.5"
"Jalin Hyatt","WR","NYG","","170.0","","","","","","272.9","","221.5"
"Raheem Mostert","RB","FA","","170.0","","","","","","273.1","","221.5"
"Tanner McKee","QB","PHI","","170.0","","","","","","273.2","","221.6"
"Mason Rudolph","QB","PIT","","170.0","","","","","","273.1","","221.6"
"Frank Gore Jr.","RB","BUF","","170.0","","","","","","273.2","","221.6"
"Derek Carr","QB","NO","","170.0","","","","","","273.2","","221.6"
"Tyler Badie","RB","DEN","","170.1","","","","","","273.1","","221.6"
"Jam Miller","RB","NE","","170.0","","","","","","273.4","","221.7"
"Spencer Rattler","QB","NO","","169.9","","","","","","273.7","","221.8"
"Jaleel McLaughlin","RB","DEN","","170.0","","","","","","273.5","","221.8"
"Jacob Cowing","WR","SF","","170.0","","","","","","273.6","","221.8"
"Damien Martinez","RB","GB","","170.0","","","","","","273.6","","221.8"
"Bam Knight","RB","ARI","","170.1","","","","","","273.6","","221.8"
"Teddy Bridgewater","QB","DET","","169.9","","","","","","273.9","","221.9"
"Junior Bergen","WR","FA","274.0","170.0","","","","","","","","222.0"
"Austin Ekeler","RB","FA","","170.0","","","","","","274.1","","222.0"
"Rasheen Ali","RB","BAL","","170.1","","","","","","273.9","","222.0"
"Tommy DeVito","QB","NE","","169.9","","","","","","274.5","","222.2"
"Tommy Tremble","TE","CAR","","169.9","","","","","","274.6","","222.2"
"Nick Mullens","QB","JAX","","170.0","","","","","","274.6","","222.3"
"Caleb Douglas","WR","MIA","","169.8","","","274.1","198.3","239.3","268.5","188.3","223.0"
